feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_oneOf__AND__has_pattern,has_oneOf,has_pattern,9,356,0.0246575,6,64,33,723,0.181818,0.0885201,2.05398,0.0932981,true
has_additionalProperties__AND__has_items,has_additionalProperties,has_items,27,338,0.0739726,9,61,52,704,0.173077,0.0866477,1.99748,0.0864292,true
has_additionalProperties__AND__has_type,has_additionalProperties,has_type,115,250,0.315068,32,38,228,528,0.140351,0.0719697,1.95014,0.0683812,true
has_enum__AND__has_required,has_enum,has_required,47,318,0.128767,15,55,93,663,0.16129,0.0829563,1.94428,0.0783341,true
has_additionalProperties__AND__has_minLength,has_additionalProperties,has_minLength,13,352,0.0356164,6,64,35,721,0.171429,0.0887656,1.93125,0.082663,true
has_boolean_schema__AND__has_minLength,has_boolean_schema,has_minLength,13,352,0.0356164,6,64,35,721,0.171429,0.0887656,1.93125,0.082663,true
has_boolean_schema__AND__has_items,has_boolean_schema,has_items,28,337,0.0767123,9,61,55,701,0.163636,0.0870185,1.88048,0.0766178,true
has_additionalProperties__AND__has_boolean_schema,has_additionalProperties,has_boolean_schema,109,256,0.29863,30,40,217,539,0.138249,0.0742115,1.8629,0.0640373,true
has_items__AND__has_minLength,has_items,has_minLength,9,356,0.0246575,4,66,24,732,0.166667,0.0901639,1.84848,0.0765027,true
has_items__AND__has_properties,has_items,has_properties,45,320,0.123288,15,55,99,657,0.151515,0.0837139,1.80992,0.0678013,true
has_minLength__AND__has_properties,has_minLength,has_properties,24,341,0.0657534,8,62,52,704,0.153846,0.0880682,1.7469,0.065778,true
has_boolean_schema__AND__has_enum,has_boolean_schema,has_enum,25,340,0.0684932,5,65,32,724,0.15625,0.089779,1.74038,0.066471,true
has_additionalProperties__AND__has_oneOf,has_additionalProperties,has_oneOf,21,344,0.0575342,9,61,62,694,0.145161,0.0878963,1.65151,0.057265,true
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,8,357,0.0219178,3,67,20,736,0.15,0.0910326,1.64776,0.0589674,true
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,8,357,0.0219178,3,67,20,736,0.15,0.0910326,1.64776,0.0589674,true
has_anyOf__AND__has_required,has_anyOf,has_required,14,351,0.0383562,7,63,50,706,0.14,0.0892351,1.56889,0.0507649,true
has_pattern__AND__has_required,has_pattern,has_required,15,350,0.0410959,7,63,52,704,0.134615,0.0894886,1.50427,0.0451267,true
has_default__AND__has_required,has_default,has_required,10,355,0.0273973,3,67,23,733,0.130435,0.0914052,1.427,0.0390296,true
has_minLength__AND__has_type,has_minLength,has_type,28,337,0.0767123,8,62,65,691,0.123077,0.089725,1.37171,0.0333519,true
has_enum__AND__has_properties,has_enum,has_properties,67,298,0.183562,15,55,139,617,0.107914,0.089141,1.2106,0.0187727,true
