feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,over_with_pair,over_without_pair,over_denominator_with,over_denominator_without,over_rate_with,over_rate_without,lift,delta,eligible_lift
has_not__AND__has_properties,has_not,has_properties,6,359,0.0164384,0,59,6,449,0,0.131403,0,-0.131403,false
has_additionalProperties__AND__has_minimum,has_additionalProperties,has_minimum,5,360,0.0136986,0,59,6,449,0,0.131403,0,-0.131403,false
has_minItems__AND__has_pattern,has_minItems,has_pattern,4,361,0.0109589,0,59,6,449,0,0.131403,0,-0.131403,false
has_additionalProperties__AND__has_ref,has_additionalProperties,has_ref,3,362,0.00821918,0,59,6,449,0,0.131403,0,-0.131403,false
has_anyOf__AND__has_defs,has_anyOf,has_defs,3,362,0.00821918,0,59,6,449,0,0.131403,0,-0.131403,false
has_anyOf__AND__has_ref,has_anyOf,has_ref,3,362,0.00821918,0,59,6,449,0,0.131403,0,-0.131403,false
has_boolean_schema__AND__has_ref,has_boolean_schema,has_ref,3,362,0.00821918,0,59,6,449,0,0.131403,0,-0.131403,false
has_default__AND__has_items,has_default,has_items,5,360,0.0136986,0,59,7,448,0,0.131696,0,-0.131696,false
has_maximum__AND__has_minimum,has_maximum,has_minimum,8,357,0.0219178,0,59,8,447,0,0.131991,0,-0.131991,false
has_maximum__AND__has_type,has_maximum,has_type,8,357,0.0219178,0,59,8,447,0,0.131991,0,-0.131991,false
has_boolean_schema__AND__has_minimum,has_boolean_schema,has_minimum,6,359,0.0164384,0,59,8,447,0,0.131991,0,-0.131991,false
has_additionalProperties__AND__has_anyOf,has_additionalProperties,has_anyOf,5,360,0.0136986,0,59,8,447,0,0.131991,0,-0.131991,false
has_additionalProperties__AND__has_minItems,has_additionalProperties,has_minItems,5,360,0.0136986,0,59,8,447,0,0.131991,0,-0.131991,false
has_boolean_schema__AND__has_minItems,has_boolean_schema,has_minItems,5,360,0.0136986,0,59,8,447,0,0.131991,0,-0.131991,false
has_default__AND__has_oneOf,has_default,has_oneOf,5,360,0.0136986,0,59,8,447,0,0.131991,0,-0.131991,false
has_ref__AND__has_required,has_ref,has_required,5,360,0.0136986,0,59,8,447,0,0.131991,0,-0.131991,false
has_anyOf__AND__has_boolean_schema,has_anyOf,has_boolean_schema,6,359,0.0164384,0,59,9,446,0,0.132287,0,-0.132287,false
has_anyOf__AND__has_enum,has_anyOf,has_enum,8,357,0.0219178,0,59,10,445,0,0.132584,0,-0.132584,false
has_anyOf__AND__has_items,has_anyOf,has_items,7,358,0.0191781,0,59,10,445,0,0.132584,0,-0.132584,false
has_properties__AND__has_ref,has_properties,has_ref,7,358,0.0191781,0,59,10,445,0,0.132584,0,-0.132584,false
has_additionalProperties__AND__has_default,has_additionalProperties,has_default,8,357,0.0219178,0,59,11,444,0,0.132883,0,-0.132883,false
has_boolean_schema__AND__has_default,has_boolean_schema,has_default,8,357,0.0219178,0,59,11,444,0,0.132883,0,-0.132883,false
has_default__AND__has_enum,has_default,has_enum,8,357,0.0219178,0,59,11,444,0,0.132883,0,-0.132883,false
has_enum__AND__has_pattern,has_enum,has_pattern,7,358,0.0191781,0,59,11,444,0,0.132883,0,-0.132883,false
has_items__AND__has_pattern,has_items,has_pattern,10,355,0.0273973,0,59,12,443,0,0.133183,0,-0.133183,false
has_default__AND__has_required,has_default,has_required,10,355,0.0273973,0,59,14,441,0,0.133787,0,-0.133787,false
has_anyOf__AND__has_required,has_anyOf,has_required,14,351,0.0383562,0,59,18,437,0,0.135011,0,-0.135011,false
