feature_pair,feature_a,feature_b,schemas_with_pair,schemas_without_pair,support,under_with_pair,under_without_pair,under_denominator_with,under_denominator_without,under_rate_with,under_rate_without,lift,delta,eligible_lift
has_items__AND__has_maxItems,has_items,has_maxItems,4,361,0.0109589,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_maxItems__AND__has_minItems,has_maxItems,has_minItems,3,362,0.00821918,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_boolean_schema__AND__has_minProperties,has_boolean_schema,has_minProperties,2,363,0.00547945,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_items__AND__has_ref,has_items,has_ref,2,363,0.00547945,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_minProperties__AND__has_patternProperties,has_minProperties,has_patternProperties,2,363,0.00547945,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_allOf__AND__has_minimum,has_allOf,has_minimum,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_allOf__AND__has_oneOf,has_allOf,has_oneOf,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_maxItems__AND__has_maximum,has_maxItems,has_maximum,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_maxItems__AND__has_minimum,has_maxItems,has_minimum,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_maximum__AND__has_minItems,has_maximum,has_minItems,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_minItems__AND__has_minimum,has_minItems,has_minimum,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_minLength__AND__has_minProperties,has_minLength,has_minProperties,1,364,0.00273973,0,47,3,751,0,0.0625832,0,-0.0625832,false
has_additionalProperties__AND__has_allOf,has_additionalProperties,has_allOf,13,352,0.0356164,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_maxItems__AND__has_type,has_maxItems,has_type,5,360,0.0136986,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_additionalProperties__AND__has_minProperties,has_additionalProperties,has_minProperties,3,362,0.00821918,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_minProperties__AND__has_type,has_minProperties,has_type,3,362,0.00821918,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_anyOf__AND__has_oneOf,has_anyOf,has_oneOf,2,363,0.00547945,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_default__AND__has_minLength,has_default,has_minLength,1,364,0.00273973,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_minLength__AND__has_minimum,has_minLength,has_minimum,1,364,0.00273973,0,47,4,750,0,0.0626667,0,-0.0626667,false
has_default__AND__has_defs,has_default,has_defs,2,363,0.00547945,0,47,5,749,0,0.0627503,0,-0.0627503,false
has_default__AND__has_minItems,has_default,has_minItems,2,363,0.00547945,0,47,5,749,0,0.0627503,0,-0.0627503,false
has_anyOf__AND__has_maxLength,has_anyOf,has_maxLength,1,364,0.00273973,0,47,5,749,0,0.0627503,0,-0.0627503,false
has_enum__AND__has_ref,has_enum,has_ref,1,364,0.00273973,0,47,5,749,0,0.0627503,0,-0.0627503,false
has_allOf__AND__has_boolean_schema,has_allOf,has_boolean_schema,14,351,0.0383562,0,47,7,747,0,0.0629183,0,-0.0629183,false
has_defs__AND__has_enum,has_defs,has_enum,14,351,0.0383562,0,47,7,747,0,0.0629183,0,-0.0629183,false
has_anyOf__AND__has_not,has_anyOf,has_not,3,362,0.00821918,0,47,7,747,0,0.0629183,0,-0.0629183,false
has_anyOf__AND__has_minItems,has_anyOf,has_minItems,2,363,0.00547945,0,47,7,747,0,0.0629183,0,-0.0629183,false
has_enum__AND__has_minimum,has_enum,has_minimum,2,363,0.00547945,0,47,7,747,0,0.0629183,0,-0.0629183,false
